Threads,BlockSize,HackSize,Time_s,MFLOPS,NNZ,Matrix,Format,Mode,GFLOPS
-1,256,16,0.00059541,93011.76,27689972,ML_Laplace.mtx,HLL,CUDA,93.01176
-1,512,16,0.00059695,92771.93,27689972,ML_Laplace.mtx,HLL,CUDA,92.77193
-1,1024,16,0.00060466,91588.2,27689972,ML_Laplace.mtx,HLL,CUDA,91.5882
-1,128,16,0.0140662,108.97,766396,dc1.mtx,HLL,CUDA,0.10897
-1,256,16,0.01339542,114.43,766396,dc1.mtx,HLL,CUDA,0.11443
-1,512,16,0.01342053,114.21,766396,dc1.mtx,HLL,CUDA,0.11420999999999999
-1,1024,16,0.0134474,113.98,766396,dc1.mtx,HLL,CUDA,0.11398
-1,128,16,3.98e-05,35752.37,711558,thermomech_TK.mtx,HLL,CUDA,35.75237
-1,256,16,4.058e-05,35072.85,711558,thermomech_TK.mtx,HLL,CUDA,35.072849999999995
-1,512,16,4.314e-05,32988.93,711558,thermomech_TK.mtx,HLL,CUDA,32.98893
-1,1024,16,4.803e-05,29632.45,711558,thermomech_TK.mtx,HLL,CUDA,29.632450000000002
-1,128,16,3.161e-05,36347.06,574458,thermal1.mtx,HLL,CUDA,36.34706
-1,256,16,2.896e-05,39676.9,574458,thermal1.mtx,HLL,CUDA,39.6769
-1,512,16,2.847e-05,40354.75,574458,thermal1.mtx,HLL,CUDA,40.35475
-1,1024,16,2.977e-05,38597.75,574458,thermal1.mtx,HLL,CUDA,38.59775
-1,128,16,1.83e-05,52931.1,484256,af23560.mtx,HLL,CUDA,52.9311
-1,256,16,1.688e-05,57376.3,484256,af23560.mtx,HLL,CUDA,57.3763
-1,512,16,1.68e-05,57660.51,484256,af23560.mtx,HLL,CUDA,57.66051
-1,1024,16,1.852e-05,52299.98,484256,af23560.mtx,HLL,CUDA,52.299980000000005
-1,128,16,9.93e-06,9.87,49,cage4.mtx,HLL,CUDA,0.009869999999999999
-1,256,16,8.5e-06,11.53,49,cage4.mtx,HLL,CUDA,0.011529999999999999
-1,512,16,8.67e-06,11.3,49,cage4.mtx,HLL,CUDA,0.011300000000000001
-1,1024,16,8.8e-06,11.13,49,cage4.mtx,HLL,CUDA,0.011130000000000001
-1,128,16,1.038e-05,770.12,3996,olm1000.mtx,HLL,CUDA,0.77012
-1,256,16,9.79e-06,816.71,3996,olm1000.mtx,HLL,CUDA,0.81671
-1,512,16,9.44e-06,846.9,3996,olm1000.mtx,HLL,CUDA,0.8469
-1,1024,16,1.037e-05,770.6,3996,olm1000.mtx,HLL,CUDA,0.7706000000000001
-1,128,16,1.629e-05,6989.54,56934,rdist2.mtx,HLL,CUDA,6.98954
-1,256,16,1.629e-05,6988.17,56934,rdist2.mtx,HLL,CUDA,6.98817
-1,512,16,1.683e-05,6766.26,56934,rdist2.mtx,HLL,CUDA,6.76626
-1,1024,16,2.247e-05,5068.19,56934,rdist2.mtx,HLL,CUDA,5.0681899999999995
-1,128,16,0.00065496,87653.21,28704672,nlpkkt80.mtx,HLL,CUDA,87.65321
-1,256,16,0.00065781,87273.71,28704672,nlpkkt80.mtx,HLL,CUDA,87.27371000000001
-1,512,16,0.00065629,87474.99,28704672,nlpkkt80.mtx,HLL,CUDA,87.47499
-1,1024,16,0.00065989,86998.62,28704672,nlpkkt80.mtx,HLL,CUDA,86.99861999999999
-1,128,16,3.676e-05,26797.75,492564,lung2.mtx,HLL,CUDA,26.79775
-1,256,16,3.879e-05,25398.28,492564,lung2.mtx,HLL,CUDA,25.39828
-1,512,16,4.227e-05,23308.03,492564,lung2.mtx,HLL,CUDA,23.30803
-1,1024,16,4.316e-05,22825.87,492564,lung2.mtx,HLL,CUDA,22.82587
-1,128,16,5.264e-05,46917.82,1234877,amazon0302.mtx,HLL,CUDA,46.91782
-1,256,16,5.215e-05,47355.39,1234877,amazon0302.mtx,HLL,CUDA,47.35539
-1,512,16,5.464e-05,45203.12,1234877,amazon0302.mtx,HLL,CUDA,45.203120000000006
-1,1024,16,5.969e-05,41374.4,1234877,amazon0302.mtx,HLL,CUDA,41.3744
-1,128,16,0.00010335,217.63,11246,adder_dcop_32.mtx,HLL,CUDA,0.21763
-1,256,16,0.0001073,209.63,11246,adder_dcop_32.mtx,HLL,CUDA,0.20962999999999998
-1,512,16,0.00010423,215.8,11246,adder_dcop_32.mtx,HLL,CUDA,0.21580000000000002
-1,1024,16,0.00010496,214.29,11246,adder_dcop_32.mtx,HLL,CUDA,0.21428999999999998
-1,128,16,1.847e-05,46633.03,430740,FEM_3D_thermal1.mtx,HLL,CUDA,46.63303
-1,256,16,1.771e-05,48638.21,430740,FEM_3D_thermal1.mtx,HLL,CUDA,48.63821
-1,512,16,1.773e-05,48585.54,430740,FEM_3D_thermal1.mtx,HLL,CUDA,48.58554
-1,1024,16,2.019e-05,42664.42,430740,FEM_3D_thermal1.mtx,HLL,CUDA,42.66442
-1,128,16,2.18e-05,26999.78,294276,raefsky2.mtx,HLL,CUDA,26.999779999999998
-1,256,16,2.134e-05,27578.72,294276,raefsky2.mtx,HLL,CUDA,27.57872
-1,512,16,2.474e-05,23787.18,294276,raefsky2.mtx,HLL,CUDA,23.78718
-1,1024,16,3.495e-05,16838.09,294276,raefsky2.mtx,HLL,CUDA,16.83809
-1,128,16,0.00028477,60260.42,8580313,thermal2.mtx,HLL,CUDA,60.260419999999996
-1,256,16,0.00028765,59657.09,8580313,thermal2.mtx,HLL,CUDA,59.65709
-1,512,16,0.00029159,58851.18,8580313,thermal2.mtx,HLL,CUDA,58.85118
-1,1024,16,0.00030202,56819.05,8580313,thermal2.mtx,HLL,CUDA,56.819050000000004
-1,128,16,1.352e-05,1266.57,8562,mhda416.mtx,HLL,CUDA,1.26657
-1,256,16,1.224e-05,1399.02,8562,mhda416.mtx,HLL,CUDA,1.39902
-1,512,16,1.252e-05,1367.56,8562,mhda416.mtx,HLL,CUDA,1.3675599999999999
-1,1024,16,1.284e-05,1333.15,8562,mhda416.mtx,HLL,CUDA,1.33315
