Threads,BlockSize,HackSize,Time_s,MFLOPS,NNZ,Matrix,Format,Mode,GFLOPS
14,-1,16,0.0311418,8169.48,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,8.16948
15,-1,16,0.03116154,8164.3,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,8.1643
16,-1,16,0.03099665,8207.73,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,8.20773
17,-1,16,0.03088523,8237.35,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,8.237350000000001
18,-1,16,0.03133631,8118.77,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,8.11877
19,-1,16,0.03162495,8044.67,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,8.04467
20,-1,16,0.03183044,7992.74,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,7.9927399999999995
21,-1,16,0.03339284,7618.77,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,7.6187700000000005
22,-1,16,0.03308262,7690.21,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,7.69021
23,-1,16,0.03274974,7768.38,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,7.7683800000000005
24,-1,16,0.03280064,7756.32,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,7.75632
25,-1,16,0.03206333,7934.68,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,7.93468
26,-1,16,0.03180207,7999.87,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,7.99987
27,-1,16,0.03161282,8047.76,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,8.04776
28,-1,16,0.03140958,8099.83,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,8.09983
29,-1,16,0.03131282,8124.86,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,8.12486
30,-1,16,0.03139903,8102.55,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,8.10255
31,-1,16,0.03156894,8058.94,127206144,Cube_Coup_dt0.mtx,HLL,OpenMP,8.05894
